mode: set
gowails/pkg/app/jobs/jobs.go:54.43,55.48 1 1
gowails/pkg/app/jobs/jobs.go:55.48,57.3 1 1
gowails/pkg/app/jobs/jobs.go:58.2,58.11 1 1
gowails/pkg/app/jobs/jobs.go:62.48,63.33 1 1
gowails/pkg/app/jobs/jobs.go:63.33,65.3 1 1
gowails/pkg/app/jobs/jobs.go:66.2,66.10 1 1
gowails/pkg/app/jobs/jobs.go:70.61,71.33 1 1
gowails/pkg/app/jobs/jobs.go:71.33,73.3 1 1
gowails/pkg/app/jobs/jobs.go:74.2,74.38 1 1
gowails/pkg/app/jobs/jobs.go:74.38,76.3 1 1
gowails/pkg/app/jobs/jobs.go:77.2,77.74 1 1
gowails/pkg/app/jobs/jobs.go:81.57,83.31 2 1
gowails/pkg/app/jobs/jobs.go:83.31,85.3 1 1
gowails/pkg/app/jobs/jobs.go:86.2,86.37 1 1
gowails/pkg/app/jobs/jobs.go:86.37,87.46 1 1
gowails/pkg/app/jobs/jobs.go:87.46,88.39 1 1
gowails/pkg/app/jobs/jobs.go:88.39,90.5 1 1
gowails/pkg/app/jobs/jobs.go:93.2,93.15 1 1
gowails/pkg/app/jobs/jobs.go:97.60,99.42 2 1
gowails/pkg/app/jobs/jobs.go:99.42,101.3 1 1
gowails/pkg/app/jobs/jobs.go:103.2,114.3 1 1
gowails/pkg/app/jobs/jobs.go:118.74,120.16 2 1
gowails/pkg/app/jobs/jobs.go:120.16,122.3 1 1
gowails/pkg/app/jobs/jobs.go:124.2,126.37 3 1
gowails/pkg/app/jobs/jobs.go:126.37,128.3 1 1
gowails/pkg/app/jobs/jobs.go:130.2,130.20 1 1
gowails/pkg/app/jobs/jobs.go:134.45,135.11 1 1
gowails/pkg/app/jobs/jobs.go:135.11,137.3 1 1
gowails/pkg/app/jobs/jobs.go:138.2,142.14 4 1
gowails/pkg/app/jobs/jobs.go:142.14,144.3 1 1
gowails/pkg/app/jobs/jobs.go:145.2,145.15 1 1
gowails/pkg/app/jobs/jobs.go:145.15,147.3 1 1
gowails/pkg/app/jobs/jobs.go:148.2,148.17 1 1
gowails/pkg/app/jobs/jobs.go:148.17,150.3 1 1
gowails/pkg/app/jobs/jobs.go:151.2,151.45 1 1
gowails/pkg/app/jobs/resource_actions_jobs.go:12.68,14.16 2 1
gowails/pkg/app/jobs/resource_actions_jobs.go:14.16,16.3 1 1
gowails/pkg/app/jobs/resource_actions_jobs.go:18.2,27.51 4 1
gowails/pkg/app/jobs/resource_actions_jobs.go:27.51,33.5 1 1
gowails/pkg/app/jobs/resource_actions_jobs.go:33.5,35.4 1 1
gowails/pkg/app/jobs/resource_actions_jobs.go:37.2,41.12 5 1
gowails/pkg/app/jobs/resource_actions_jobs.go:45.74,49.2 3 1
gowails/pkg/app/jobs/resource_actions_jobs.go:52.73,56.2 3 1
gowails/pkg/app/jobs/resource_actions_jobs.go:59.86,61.16 2 1
gowails/pkg/app/jobs/resource_actions_jobs.go:61.16,63.3 1 1
gowails/pkg/app/jobs/resource_actions_jobs.go:64.2,72.12 3 1
gowails/pkg/app/docker/topology/builder.go:18.78,21.26 3 1
gowails/pkg/app/docker/topology/builder.go:21.26,30.3 3 1
gowails/pkg/app/docker/topology/builder.go:31.2,31.27 1 1
gowails/pkg/app/docker/topology/builder.go:35.62,36.31 1 1
gowails/pkg/app/docker/topology/builder.go:36.31,38.3 1 0
gowails/pkg/app/docker/topology/builder.go:39.2,39.77 1 1
gowails/pkg/app/docker/topology/builder.go:39.77,41.3 1 1
gowails/pkg/app/docker/topology/builder.go:42.2,42.24 1 0
gowails/pkg/app/docker/topology/builder.go:45.38,47.17 2 1
gowails/pkg/app/docker/topology/builder.go:47.17,50.3 1 0
gowails/pkg/app/docker/topology/builder.go:52.2,52.15 1 1
gowails/pkg/app/docker/topology/builder.go:56.125,62.29 5 1
gowails/pkg/app/docker/topology/builder.go:62.29,75.3 6 1
gowails/pkg/app/docker/topology/builder.go:76.2,76.62 1 1
gowails/pkg/app/docker/topology/builder.go:88.57,96.26 2 1
gowails/pkg/app/docker/topology/builder.go:96.26,97.21 1 1
gowails/pkg/app/docker/topology/builder.go:97.21,99.4 1 1
gowails/pkg/app/docker/topology/builder.go:100.3,100.24 1 1
gowails/pkg/app/docker/topology/builder.go:100.24,102.4 1 1
gowails/pkg/app/docker/topology/builder.go:103.3,103.47 1 1
gowails/pkg/app/docker/topology/builder.go:103.47,104.25 1 1
gowails/pkg/app/docker/topology/builder.go:104.25,106.5 1 1
gowails/pkg/app/docker/topology/builder.go:107.4,107.43 1 1
gowails/pkg/app/docker/topology/builder.go:107.43,110.5 2 1
gowails/pkg/app/docker/topology/builder.go:113.2,113.15 1 1
gowails/pkg/app/docker/topology/builder.go:117.77,118.26 1 1
gowails/pkg/app/docker/topology/builder.go:118.26,120.3 1 1
gowails/pkg/app/docker/topology/builder.go:124.106,125.29 1 1
gowails/pkg/app/docker/topology/builder.go:125.29,129.38 4 1
gowails/pkg/app/docker/topology/builder.go:129.38,131.4 1 0
gowails/pkg/app/docker/topology/builder.go:136.109,138.34 2 1
gowails/pkg/app/docker/topology/builder.go:138.34,139.13 1 1
gowails/pkg/app/docker/topology/builder.go:139.13,140.12 1 0
gowails/pkg/app/docker/topology/builder.go:142.3,143.58 2 1
gowails/pkg/app/docker/topology/builder.go:143.58,144.12 1 0
gowails/pkg/app/docker/topology/builder.go:146.3,147.37 2 1
gowails/pkg/app/docker/topology/builder.go:147.37,148.12 1 0
gowails/pkg/app/docker/topology/builder.go:150.3,150.34 1 1
gowails/pkg/app/docker/topology/builder.go:150.34,151.12 1 0
gowails/pkg/app/docker/topology/builder.go:153.3,153.86 1 1
gowails/pkg/app/docker/topology/builder.go:155.2,155.14 1 1
gowails/pkg/app/docker/topology/builder.go:160.98,161.16 1 1
gowails/pkg/app/docker/topology/builder.go:161.16,163.3 1 0
gowails/pkg/app/docker/topology/builder.go:165.2,166.16 2 1
gowails/pkg/app/docker/topology/builder.go:166.16,168.3 1 0
gowails/pkg/app/docker/topology/builder.go:169.2,170.16 2 1
gowails/pkg/app/docker/topology/builder.go:170.16,172.3 1 0
gowails/pkg/app/docker/topology/builder.go:173.2,174.16 2 1
gowails/pkg/app/docker/topology/builder.go:174.16,176.3 1 0
gowails/pkg/app/docker/topology/builder.go:178.2,191.8 7 1
gowails/pkg/app/mcp/config.go:30.36,40.2 1 1
gowails/pkg/app/mcp/config.go:43.42,45.24 1 1
gowails/pkg/app/mcp/config.go:45.24,47.3 1 1
gowails/pkg/app/mcp/config.go:48.2,48.27 1 1
gowails/pkg/app/mcp/config.go:48.27,50.3 1 1
gowails/pkg/app/mcp/config.go:52.2,52.18 1 1
gowails/pkg/app/mcp/config.go:52.18,54.3 1 1
gowails/pkg/app/mcp/config.go:56.2,56.35 1 1
gowails/pkg/app/mcp/config.go:56.35,58.3 1 1
gowails/pkg/app/mcp/config.go:60.2,60.32 1 1
gowails/pkg/app/mcp/config.go:60.32,62.3 1 1
gowails/pkg/app/mcp/config.go:63.2,63.12 1 1
gowails/pkg/app/mcp/config.go:67.45,69.2 1 1
gowails/pkg/app/mcp/config.go:72.46,82.2 1 1
gowails/pkg/app/mcp/config.go:85.45,87.2 1 1
gowails/pkg/app/mcp/resources.go:8.41,53.2 5 1
gowails/pkg/app/mcp/resources.go:59.79,71.2 2 1
gowails/pkg/app/mcp/resources.go:73.75,75.16 2 1
gowails/pkg/app/mcp/resources.go:75.16,77.3 1 0
